id,title,category,years,year,year_end,lat,lon,origin_location,thumb,image,abstract,content_path
dev-0001,Egyptian Sundial,device,-1500,-1500,,25.6872,32.6396,"Luxor, Egypt",images/dev_0001_thumb.png,images/dev_0001_image.png,"Egyptian Sundial — time device (-1500, Luxor, Egypt).",content/devices/dev-0001.en.md
dev-0005,Egyptian Water Clock (Clepsydra),device,-1400,-1400,,25.6872,32.6396,"Thebes, Egypt",images/dev_0005_thumb.png,images/dev_0005_image.png,"Egyptian Water Clock (Clepsydra) — time device (-1400, Thebes, Egypt).",content/devices/dev-0005.en.md
dev-2003,Karnak Temple Clepsydra (Temple of Amun),device,-1450,-1450,,25.7188,32.6573,"Karnak, Egypt",images/dev_2003_thumb.png,images/dev_2003_image.png,"Karnak Temple Clepsydra (Temple of Amun) — time device (-1450, Karnak, Egypt).",content/devices/dev-2003.en.md
dev-2027,Greek Clepsydras (Water Clocks),device,-400,-400,,37.9755,23.7227,Greece,images/dev_2027_thumb.png,images/dev_2027_image.png,"Greek Clepsydras (Water Clocks) — time device (-400, Greece).",content/devices/dev-2027.en.md
dev-2004,Anaphoric Clock,device,-200,-200,,37.9777,23.7381,Greece,images/dev_2004_thumb.png,images/dev_2004_image.png,"Anaphoric Clock — time device (-200, Greece).",content/devices/dev-2004.en.md
dev-2032,Archimedes’ Clock,device,-250,-250,,37.0755,15.2866,"Syracuse, Sicily",images/dev_2032_thumb.png,images/dev_2032_image.png,"Archimedes’ Clock — time device (-250, Syracuse, Sicily).",content/devices/dev-2032.en.md
dev-2000,Anticythère,device,-100,-100,,36.147,23.296,"Antikythera, Greece",images/dev_2000_thumb.png,images/dev_2000_image.png,"Anticythère — time device (-100, Antikythera, Greece).",content/devices/l_anticyth_re.en.md
dev-2026,Roman Sundials,device,-100,-100,,41.90165,12.4787,"Obelisk of Montecitorio (Horologium Augusti), Rome",images/dev_2026_thumb.png,images/dev_2026_image.png,"Roman Sundials — time device (-100, Obelisk of Montecitorio (Horologium Augusti), Rome).",content/devices/dev-2026.en.md
dev-2024,Tower of the Winds (Andronikos),device,-50,-50,,37.9755,23.7257,"Athens, Greece",images/dev_2024_thumb.png,images/dev_2024_image.png,"Tower of the Winds (Andronikos) — time device (-50, Athens, Greece).",content/devices/dev-2024.en.md
dev-2015,Horologium of Augustus (gnomon),device,-10,-10,,41.9028,12.4964,"Rome, Italy",images/dev_2015_thumb.png,images/dev_2015_image.png,"Horologium of Augustus (gnomon) — time device (-10, Rome, Italy).",content/devices/dev-2015.en.md
dev-2011,Chinese Fire Clock,device,500,500,,35.8617,104.1954,China,images/dev_2011_thumb.png,images/dev_2011_image.png,"Chinese Fire Clock — time device (500, China).",content/devices/dev-2011.en.md
dev-2030,Candle Clock (simple),device,520,520,,35.8617,104.1954,China,images/dev_2030_thumb.png,images/dev_2030_image.png,"Candle Clock (simple) — time device (520, China).",content/devices/dev-2030.en.md
dev-2017,Charlemagne’s Clock,device,807,807,,50.7753,6.0839,"Aachen, Carolingian Empire",images/dev_2017_thumb.png,images/dev_2017_image.png,"Charlemagne’s Clock — time device (807, Aachen, Carolingian Empire).",content/devices/l_horloge_de_charlemagne.en.md
dev-0013,Japanese Incense Clock,device,900,900,,35.0116,135.7681,"Kyoto, Japan",images/dev_0013_thumb.png,images/dev_0013_image.png,"Japanese Incense Clock — time device (900, Kyoto, Japan).",content/devices/dev-0013.en.md
dev-2012,Oil Clock,device,1000,1000,,40.41678,-3.70379,"Madrid, Spain",images/dev_2012_thumb.png,images/dev_2012_image.png,"Oil Clock — time device (1000, Madrid, Spain).",content/devices/dev-2012.en.md
dev-0012,Su Song’s Astronomical Clock Tower,device,1092,1092,,34.797,114.307,"Kaifeng, China",images/dev_0012_thumb.png,images/dev_0012_image.png,"Su Song’s Astronomical Clock Tower — time device (1092, Kaifeng, China).",content/devices/dev-0012.en.md
dev-2008,Clock of Gaza (Ridwan),device,1200,1200,,31.506,34.452,"Gaza, Levant",images/dev_2008_thumb.png,images/dev_2008_image.png,"Clock of Gaza (Ridwan) — time device (1200, Gaza, Levant).",content/devices/l_horloge_de_gaza.en.md
dev-2031,Al-Jazari’s Candle Clock,device,1206,1206,,35.8617,104.1954,China,images/dev_2031_thumb.png,images/dev_2031_image.png,"Al-Jazari’s Candle Clock — time device (1206, China).",content/devices/jazari.en.md
dev-2009,Mechanical Tower Clock with Foliot,device,1300,1300,,51.06517,-1.79805,"Salisbury Cathedral, England",images/dev_2009_thumb.png,images/dev_2009_image.png,"Mechanical Tower Clock with Foliot — time device (1300, Salisbury Cathedral, England).",content/devices/dev-2009.en.md
dev-2029,Hourglass,device,1300,1300,,43.31833,11.33139,"Palazzo Pubblico (Siena), Italy",images/dev_2029_thumb.png,images/dev_2029_image.png,"Hourglass — time device (1300, Palazzo Pubblico (Siena), Italy).",content/devices/dev-2029.en.md
dev-2018,Public Clock of Fez,device,1357,1357,,34.0331,-5.0003,"Fez, Morocco",images/dev_2018_thumb.png,images/dev_2018_image.png,"Public Clock of Fez — time device (1357, Fez, Morocco).",content/devices/dev-2018.en.md
dev-2001,Astrarium of Giovanni Dondi,device,1364,1364,,45.4064,11.8768,"Padua, Italy",images/dev_2001_thumb.png,images/dev_2001_image.png,"Astrarium of Giovanni Dondi — time device (1364, Padua, Italy).",content/devices/de_giovanni.en.md
dev-0010,Prague Astronomical Clock (Orloj),device,1410,1410,,50.087,14.42,"Prague, Czechia",images/dev_0010_thumb.png,images/dev_0010_image.png,"Prague Astronomical Clock (Orloj) — time device (1410, Prague, Czechia).",content/devices/dev-0010.en.md
dev-2025,Portable Sundials,device,1500,1500,,49.45387,11.0773,"Nuremberg, Germany",images/dev_2025_thumb.png,images/dev_2025_image.png,"Portable Sundials — time device (1500, Nuremberg, Germany).",content/devices/dev-2025.en.md
dev-2016,Jost Bürgi’s Rotating Sphere,device,1600,1600,,51.3127,9.4797,"Kassel/Prague, Holy Roman Empire",images/dev_2016_thumb.png,images/dev_2016_image.png,"Jost Bürgi’s Rotating Sphere — time device (1600, Kassel/Prague, Holy Roman Empire).",content/devices/la_sph_re_tournante_de_jost.en.md
